follicle:[805, 469] hair_end:[799, 493] length:12.3693 num:2 radius:5
follicle:[226, 470] hair_end:[221, 493] length:11.7686 num:1 radius:5.09902
follicle:[90, 470] hair_end:[90, 485] length:7.5 num:2 radius:2
follicle:[849, 466] hair_end:[849, 477] length:5.5 num:1 radius:2
follicle:[279, 467] hair_end:[271, 493] length:13.6015 num:4 radius:5.09902
follicle:[107, 462] hair_end:[101, 479] length:9.01388 num:1 radius:2
follicle:[338, 460] hair_end:[338, 473] length:6.5 num:1 radius:1.41421
follicle:[665, 454] hair_end:[660, 489] length:17.6777 num:1 radius:4.24264
follicle:[308, 448] hair_end:[308, 465] length:8.5 num:1 radius:2
follicle:[708, 445] hair_end:[704, 492] length:23.585 num:1 radius:4.12311
follicle:[564, 446] hair_end:[552, 484] length:19.9249 num:2 radius:4.24264
follicle:[379, 446] hair_end:[376, 483] length:18.5607 num:2 radius:3
follicle:[731, 441] hair_end:[724, 477] length:18.3371 num:1 radius:2.82843
follicle:[512, 437] hair_end:[487, 491] length:29.7532 num:4 radius:5.83095
follicle:[609, 434] hair_end:[589, 490] length:29.7321 num:2 radius:5
follicle:[444, 434] hair_end:[431, 485] length:26.3154 num:3 radius:5
follicle:[189, 421] hair_end:[168, 463] length:23.4787 num:2 radius:3
follicle:[313, 417] hair_end:[310, 445] length:14.0801 num:1 radius:3.60555
follicle:[136, 418] hair_end:[130, 470] length:26.1725 num:1 radius:5
follicle:[352, 414] hair_end:[339, 452] length:20.0811 num:1 radius:3.60555
follicle:[793, 406] hair_end:[793, 455] length:24.5 num:3 radius:5
follicle:[654, 396] hair_end:[654, 435] length:19.5 num:2 radius:4
follicle:[234, 397] hair_end:[222, 420] length:12.9711 num:2 radius:4.24264
follicle:[15, 396] hair_end:[6, 433] length:19.0394 num:2 radius:5
follicle:[469, 394] hair_end:[459, 433] length:20.1308 num:3 radius:4.12311
follicle:[731, 388] hair_end:[723, 427] length:19.906 num:1 radius:3.16228
follicle:[538, 387] hair_end:[535, 399] length:6.18466 num:1 radius:1
follicle:[266, 385] hair_end:[259, 420] length:17.8466 num:2 radius:4
follicle:[283, 381] hair_end:[275, 415] length:17.4642 num:1 radius:2
follicle:[96, 380] hair_end:[80, 414] length:18.7883 num:1 radius:4.24264
follicle:[840, 378] hair_end:[835, 417] length:19.6596 num:2 radius:5
follicle:[543, 371] hair_end:[539, 385] length:7.28011 num:2 radius:2
follicle:[404, 371] hair_end:[400, 415] length:22.0907 num:2 radius:6
follicle:[524, 359] hair_end:[519, 400] length:20.6519 num:1 radius:2
follicle:[578, 355] hair_end:[569, 391] length:18.554 num:1 radius:3
follicle:[689, 354] hair_end:[684, 399] length:22.6385 num:2 radius:5
follicle:[157, 348] hair_end:[137, 381] length:19.2938 num:2 radius:4.94975
follicle:[775, 346] hair_end:[775, 395] length:24.5 num:3 radius:4.12311
follicle:[619, 342] hair_end:[611, 386] length:22.3607 num:2 radius:4
follicle:[315, 340] hair_end:[307, 389] length:24.8244 num:1 radius:4
follicle:[92, 329] hair_end:[76, 351] length:13.6015 num:1 radius:1.41421
follicle:[211, 326] hair_end:[204, 369] length:21.783 num:1 radius:4.24264
follicle:[143, 326] hair_end:[133, 336] length:7.07107 num:1 radius:2
follicle:[346, 320] hair_end:[327, 359] length:21.691 num:1 radius:4.24264
follicle:[29, 320] hair_end:[16, 354] length:18.2003 num:1 radius:5
follicle:[457, 317] hair_end:[446, 357] length:20.7425 num:2 radius:2.82843
follicle:[473, 316] hair_end:[466, 337] length:11.068 num:2 radius:2.82843
follicle:[541, 313] hair_end:[533, 341] length:14.5602 num:1 radius:2
follicle:[420, 314] hair_end:[414, 353] length:19.7294 num:2 radius:4.94975
follicle:[808, 308] hair_end:[808, 343] length:17.5 num:2 radius:5.38516
follicle:[56, 306] hair_end:[56, 317] length:5.5 num:1 radius:2
follicle:[827, 301] hair_end:[822, 347] length:23.1355 num:2 radius:2.12132
follicle:[594, 300] hair_end:[589, 333] length:16.6883 num:3 radius:6.08276
follicle:[747, 295] hair_end:[753, 346] length:25.6759 num:2 radius:5
follicle:[149, 292] hair_end:[139, 321] length:15.3379 num:3 radius:5
follicle:[667, 287] hair_end:[660, 315] length:14.4309 num:1 radius:2.82843
follicle:[80, 284] hair_end:[65, 321] length:19.9625 num:2 radius:3.53553
follicle:[148, 279] hair_end:[144, 291] length:6.32456 num:1 radius:1
follicle:[163, 277] hair_end:[154, 291] length:8.32166 num:1 radius:2.82843
follicle:[296, 267] hair_end:[262, 335] length:38.0132 num:3 radius:4
follicle:[487, 265] hair_end:[472, 300] length:19.0394 num:2 radius:3
follicle:[702, 263] hair_end:[694, 305] length:21.3776 num:1 radius:5
follicle:[381, 263] hair_end:[368, 307] length:22.9401 num:2 radius:5.09902
follicle:[96, 254] hair_end:[96, 263] length:4.5 num:1 radius:2
follicle:[538, 246] hair_end:[525, 281] length:18.6682 num:3 radius:5.65685
follicle:[816, 240] hair_end:[811, 287] length:23.6326 num:2 radius:4.94975
follicle:[750, 239] hair_end:[743, 283] length:22.2767 num:1 radius:3
follicle:[27, 236] hair_end:[11, 264] length:16.1245 num:1 radius:3.53553
follicle:[615, 234] hair_end:[607, 272] length:19.4165 num:2 radius:3.53553
follicle:[225, 228] hair_end:[193, 316] length:46.8188 num:1 radius:4
follicle:[417, 224] hair_end:[411, 269] length:22.6991 num:2 radius:4.12311
follicle:[318, 216] hair_end:[301, 253] length:20.3593 num:3 radius:4
follicle:[634, 200] hair_end:[628, 238] length:19.2354 num:2 radius:5
follicle:[118, 199] hair_end:[103, 245] length:24.1919 num:1 radius:2.82843
follicle:[778, 196] hair_end:[766, 238] length:21.8403 num:1 radius:4
follicle:[707, 197] hair_end:[702, 257] length:30.104 num:1 radius:6
follicle:[181, 194] hair_end:[163, 230] length:20.1246 num:2 radius:4.94975
follicle:[572, 193] hair_end:[565, 241] length:24.2539 num:2 radius:5
follicle:[850, 192] hair_end:[850, 221] length:14.5 num:1 radius:2
follicle:[484, 191] hair_end:[476, 227] length:18.4391 num:2 radius:5.83095
follicle:[60, 186] hair_end:[46, 215] length:16.1012 num:1 radius:3.60555
follicle:[263, 182] hair_end:[251, 218] length:18.9737 num:2 radius:5
follicle:[369, 182] hair_end:[352, 228] length:24.5204 num:1 radius:4.47214
follicle:[44, 181] hair_end:[33, 217] length:18.8215 num:3 radius:2
follicle:[126, 176] hair_end:[123, 185] length:4.74342 num:1 radius:2
follicle:[523, 171] hair_end:[512, 205] length:17.8676 num:1 radius:2.12132
follicle:[408, 153] hair_end:[404, 197] length:22.0907 num:1 radius:4.94975
follicle:[237, 151] hair_end:[223, 185] length:18.3848 num:1 radius:2
follicle:[773, 150] hair_end:[760, 192] length:21.9829 num:1 radius:4.24264
follicle:[668, 150] hair_end:[668, 191] length:20.5 num:2 radius:4.47214
follicle:[153, 148] hair_end:[136, 185] length:20.3593 num:1 radius:2
follicle:[129, 148] hair_end:[117, 173] length:13.8654 num:1 radius:2
follicle:[819, 136] hair_end:[808, 186] length:25.5979 num:3 radius:5.65685
follicle:[595, 137] hair_end:[590, 185] length:24.1299 num:1 radius:4
follicle:[707, 130] hair_end:[699, 168] length:19.4165 num:3 radius:5
follicle:[353, 127] hair_end:[335, 167] length:21.9317 num:3 radius:6.08276
follicle:[539, 123] hair_end:[531, 173] length:25.318 num:2 radius:4
follicle:[202, 120] hair_end:[179, 159] length:22.6385 num:2 radius:4.94975
follicle:[288, 119] hair_end:[278, 159] length:20.6155 num:1 radius:2.12132
follicle:[56, 117] hair_end:[37, 159] length:23.0489 num:1 radius:4
follicle:[481, 111] hair_end:[466, 150] length:20.8926 num:2 radius:4.24264
follicle:[439, 109] hair_end:[427, 151] length:21.8403 num:1 radius:3
follicle:[850, 105] hair_end:[841, 137] length:16.6208 num:1 radius:2.12132
follicle:[627, 102] hair_end:[614, 138] length:19.1377 num:4 radius:2.82843
follicle:[421, 103] hair_end:[418, 141] length:19.0591 num:1 radius:2
follicle:[611, 98] hair_end:[602, 127] length:15.1822 num:1 radius:2
follicle:[746, 93] hair_end:[737, 135] length:21.4767 num:2 radius:4.24264
follicle:[649, 81] hair_end:[632, 81] length:8.5 num:1 radius:5
follicle:[678, 74] hair_end:[671, 106] length:16.3783 num:2 radius:6
follicle:[499, 74] hair_end:[499, 101] length:13.5 num:2 radius:5
follicle:[351, 73] hair_end:[339, 114] length:21.36 num:1 radius:3.53553
follicle:[89, 68] hair_end:[74, 105] length:19.9625 num:1 radius:4
follicle:[574, 67] hair_end:[564, 112] length:23.0489 num:1 radius:4
follicle:[170, 65] hair_end:[150, 111] length:25.0799 num:1 radius:2.82843
follicle:[221, 62] hair_end:[208, 101] length:20.5548 num:1 radius:2
follicle:[789, 50] hair_end:[789, 87] length:18.5 num:4 radius:6
follicle:[269, 47] hair_end:[261, 71] length:12.6491 num:2 radius:2.82843
follicle:[290, 41] hair_end:[276, 71] length:16.5529 num:3 radius:4
follicle:[451, 40] hair_end:[435, 91] length:26.7255 num:1 radius:5
follicle:[631, 36] hair_end:[624, 64] length:14.4309 num:2 radius:5.65685
follicle:[374, 34] hair_end:[361, 74] length:21.0297 num:3 radius:4
follicle:[392, 33] hair_end:[379, 63] length:16.3478 num:2 radius:2
follicle:[593, 20] hair_end:[583, 52] length:16.7631 num:3 radius:5.38516
follicle:[735, 18] hair_end:[723, 79] length:31.0846 num:2 radius:5
follicle:[686, 18] hair_end:[675, 55] length:19.3003 num:5 radius:8.24621
follicle:[505, 16] hair_end:[498, 58] length:21.2897 num:1 radius:6
follicle:[85, 15] hair_end:[76, 37] length:11.8849 num:2 radius:1
follicle:[96, 13] hair_end:[86, 41] length:14.8661 num:1 radius:1.41421
follicle:[23, 14] hair_end:[8, 63] length:25.6223 num:2 radius:4
follicle:[198, 10] hair_end:[183, 43] length:18.1246 num:3 radius:4.24264
follicle:[138, 1] hair_end:[123, 29] length:15.8824 num:2 radius:5.65685
